Start,End,Operation,Amount,USD
2023-09-01,2023-10-01,NoOperation,143.81,USD
2023-09-01,2023-10-01,APS3-TimedStorage-ByteHrs,0.5387957246,USD
2023-09-01,2023-10-01,AllocateAddressVPC,0.0,USD
2023-09-01,2023-10-01,ApiGatewayHttpApi,0.0,USD
2023-09-01,2023-10-01,ApiGatewayRequest,0.0,USD
2023-09-01,2023-10-01,AssociateAddressVPC,10.369,USD
2023-09-01,2023-10-01,CommittedThroughput,0.0,USD
2023-09-01,2023-10-01,CompleteMultipartUpload,0.000135,USD
2023-09-01,2023-10-01,CopyObject,0.000296432,USD
2023-09-01,2023-10-01,CostDataStorage,0.2550283331,USD
2023-09-01,2023-10-01,CountAutomation,0.0,USD
2023-09-01,2023-10-01,CrawlerRun,0.03781536,USD
2023-09-01,2023-10-01,CreateAlias,0.0,USD
2023-09-01,2023-10-01,CreateBucket,5.5e-05,USD
2023-09-01,2023-10-01,CreateCacheCluster:0002,0.294,USD
2023-09-01,2023-10-01,CreateDBInstance:0002,257.033152806,USD
2023-09-01,2023-10-01,CreateDBInstance:0014,4.2889853676,USD
2023-09-01,2023-10-01,CreateDBProxy:0002,0.1910327797,USD
2023-09-01,2023-10-01,CreateGrant,0.0,USD
2023-09-01,2023-10-01,CreateKey,0.0,USD
2023-09-01,2023-10-01,CreateOperation,105.148857667,USD
2023-09-01,2023-10-01,CreateSecret,1.5e-05,USD
2023-09-01,2023-10-01,CreateSnapshot,3.0666034298,USD
2023-09-01,2023-10-01,CreateTopic,0.0,USD
2023-09-01,2023-10-01,CreateVolume-Gp2,39.414190331,USD
2023-09-01,2023-10-01,CreateVolume-Gp3,3.7469262359,USD
2023-09-01,2023-10-01,DeleteAlias,0.0,USD
2023-09-01,2023-10-01,DeleteBucket,0.0,USD
2023-09-01,2023-10-01,DeleteBucketPublicAccessBlock,0.0,USD
2023-09-01,2023-10-01,DeleteBucketServerSideEncryption,0.0,USD
2023-09-01,2023-10-01,DeleteMessage,0.0,USD
2023-09-01,2023-10-01,DeleteSecret,1.5e-05,USD
2023-09-01,2023-10-01,DeleteTopic,0.0,USD
2023-09-01,2023-10-01,DescribeCustomKeyStores,0.0,USD
2023-09-01,2023-10-01,DescribeKey,0.0,USD
2023-09-01,2023-10-01,DescribeNetworkInterfaces,0.0,USD
2023-09-01,2023-10-01,DescribeSecret,0.00011,USD
2023-09-01,2023-10-01,DisableKey,0.0,USD
2023-09-01,2023-10-01,ESDomain,0.0,USD
2023-09-01,2023-10-01,EnableKey,0.0,USD
2023-09-01,2023-10-01,GET,0.0,USD
2023-09-01,2023-10-01,GetCostAndUsage,24.21,USD
2023-09-01,2023-10-01,GetCostForecast,24.15,USD
2023-09-01,2023-10-01,GetDimensionValues,0.17,USD
2023-09-01,2023-10-01,GetKeyPolicy,0.0,USD
2023-09-01,2023-10-01,GetKeyRotationStatus,0.0,USD
2023-09-01,2023-10-01,GetLensConfiguration,7.08e-05,USD
2023-09-01,2023-10-01,GetObject,0.0003700752,USD
2023-09-01,2023-10-01,GetQueueAttributes,0.0,USD
2023-09-01,2023-10-01,GetQueueUrl,0.0,USD
2023-09-01,2023-10-01,GetReservationPurchaseRecs,9.85,USD
2023-09-01,2023-10-01,GetReservationUtilization,8.51,USD
2023-09-01,2023-10-01,GetResourcePolicy,9.5e-05,USD
2023-09-01,2023-10-01,GetRightsizingRecommendation,33.94,USD
2023-09-01,2023-10-01,GetSecretValue,0.002875,USD
2023-09-01,2023-10-01,GetTopicAttributes,0.0,USD
2023-09-01,2023-10-01,HEAD,0.0,USD
2023-09-01,2023-10-01,HeadBucket,0.0002740068,USD
2023-09-01,2023-10-01,HeadObject,1.12068e-05,USD
2023-09-01,2023-10-01,Hourly,0.0,USD
2023-09-01,2023-10-01,HourlyStorageMetering,0.0,USD
2023-09-01,2023-10-01,InitiateMultipartUpload,0.00014,USD
2023-09-01,2023-10-01,InterZone-In,0.1498129845,USD
2023-09-01,2023-10-01,InterZone-Out,0.0985038312,USD
2023-09-01,2023-10-01,Invalidations,0.0,USD
2023-09-01,2023-10-01,Invoke,0.0,USD
2023-09-01,2023-10-01,Jobrun,1.6475558,USD
2023-09-01,2023-10-01,List,0.0,USD
2023-09-01,2023-10-01,ListAliases,0.0,USD
2023-09-01,2023-10-01,ListAllMyBuckets,0.0009802737,USD
2023-09-01,2023-10-01,ListBucket,0.0010800205,USD
2023-09-01,2023-10-01,ListBucketVersions,1e-05,USD
2023-09-01,2023-10-01,ListDashboards,0.0,USD
2023-09-01,2023-10-01,ListDeadLetterSourceQueues,0.0,USD
2023-09-01,2023-10-01,ListLensConfigurations,8e-05,USD
2023-09-01,2023-10-01,ListMRAPs,1e-05,USD
2023-09-01,2023-10-01,ListMetrics,0.0,USD
2023-09-01,2023-10-01,ListResourceTags,0.0,USD
2023-09-01,2023-10-01,ListRouteCalculators,0.0,USD
2023-09-01,2023-10-01,ListSecrets,5e-05,USD
2023-09-01,2023-10-01,ListSubscriptions,0.0,USD
2023-09-01,2023-10-01,ListTagsForResource,0.0,USD
2023-09-01,2023-10-01,ListTopics,0.0,USD
2023-09-01,2023-10-01,LoadBalancing,0.0,USD
2023-09-01,2023-10-01,LoadBalancing-PublicIP-In,1.878e-07,USD
2023-09-01,2023-10-01,LoadBalancing-PublicIP-Out,0.0011173445,USD
2023-09-01,2023-10-01,LoadBalancing:Application,24.5214,USD
2023-09-01,2023-10-01,LoadBalancing:Network,8.0304,USD
2023-09-01,2023-10-01,MetricStorage,0.0,USD
2023-09-01,2023-10-01,NatGateway,59.9625614088,USD
2023-09-01,2023-10-01,None,5.53029e-05,USD
2023-09-01,2023-10-01,Not Applicable,0.0,USD
2023-09-01,2023-10-01,Notification,0.0,USD
2023-09-01,2023-10-01,POST,4.87e-08,USD
2023-09-01,2023-10-01,PreflightRequest,0.0,USD
2023-09-01,2023-10-01,PublicIP-In,0.0544305056,USD
2023-09-01,2023-10-01,PublicIP-Out,0.0325336248,USD
2023-09-01,2023-10-01,Publish,0.0,USD
2023-09-01,2023-10-01,PurgeQueue,0.0,USD
2023-09-01,2023-10-01,PutKeyPolicy,0.0,USD
2023-09-01,2023-10-01,PutLogEvents,0.0,USD
2023-09-01,2023-10-01,PutMetricData,0.0,USD
2023-09-01,2023-10-01,PutObject,0.0642152802,USD
2023-09-01,2023-10-01,PutSecretValue,1.5e-05,USD
2023-09-01,2023-10-01,ReadACL,0.0002001538,USD
2023-09-01,2023-10-01,ReadAccelerate,1.76e-05,USD
2023-09-01,2023-10-01,ReadAccountPublicAccessBlock,0.0002096,USD
2023-09-01,2023-10-01,ReadBucketAnalytics,8e-07,USD
2023-09-01,2023-10-01,ReadBucketCors,3.08e-05,USD
2023-09-01,2023-10-01,ReadBucketIntelligentTiering,8e-07,USD
2023-09-01,2023-10-01,ReadBucketInventory,8e-07,USD
2023-09-01,2023-10-01,ReadBucketLifecycle,1.76e-05,USD
2023-09-01,2023-10-01,ReadBucketObjectLockConfig,2.2e-05,USD
2023-09-01,2023-10-01,ReadBucketOwnershipControls,2.32e-05,USD
2023-09-01,2023-10-01,ReadBucketPolicy,2.8e-05,USD
2023-09-01,2023-10-01,ReadBucketPolicyStatus,0.000182,USD
2023-09-01,2023-10-01,ReadBucketPublicAccessBlock,0.0001996,USD
2023-09-01,2023-10-01,ReadBucketReplication,1.84e-05,USD
2023-09-01,2023-10-01,ReadBucketServerSideEncryption,3.4e-05,USD
2023-09-01,2023-10-01,ReadBucketWebsite,2.44e-05,USD
2023-09-01,2023-10-01,ReadCostAllocation,2.12e-05,USD
2023-09-01,2023-10-01,ReadLocation,1.16e-05,USD
2023-09-01,2023-10-01,ReadLogProps,1.76e-05,USD
2023-09-01,2023-10-01,ReadNotificationProps,8e-07,USD
2023-09-01,2023-10-01,ReadObjectTagging,0.0,USD
2023-09-01,2023-10-01,ReadRequestPaymentProps,1.76e-05,USD
2023-09-01,2023-10-01,ReadVersioningProps,6.48e-05,USD
2023-09-01,2023-10-01,Receive,0.0,USD
2023-09-01,2023-10-01,Request,0.0,USD
2023-09-01,2023-10-01,RetireGrant,0.0,USD
2023-09-01,2023-10-01,RunInstances,162.8278212726,USD
2023-09-01,2023-10-01,ScheduleKeyDeletion,0.0,USD
2023-09-01,2023-10-01,SecretUsage,0.3494444717,USD
2023-09-01,2023-10-01,SelectObjectContent,3.99e-08,USD
2023-09-01,2023-10-01,Send,0.0002944468,USD
2023-09-01,2023-10-01,SendRawEmail,0.0,USD
2023-09-01,2023-10-01,SetTopicAttributes,0.0,USD
2023-09-01,2023-10-01,Shutdown,0.0,USD
2023-09-01,2023-10-01,StandardStorage,1.1406175613,USD
2023-09-01,2023-10-01,Storage,0.0,USD
2023-09-01,2023-10-01,Subscribe,0.0,USD
2023-09-01,2023-10-01,SubscriptionConfirmation,0.0,USD
2023-09-01,2023-10-01,TranscribeAudio,0.0,USD
2023-09-01,2023-10-01,TranslateText,0.0,USD
2023-09-01,2023-10-01,Unknown,10.0083333208,USD
2023-09-01,2023-10-01,UnknownAction,0.0,USD
2023-09-01,2023-10-01,UploadPart,0.00365,USD
2023-09-01,2023-10-01,VpcEndpoint,4.862,USD
2023-09-01,2023-10-01,WebsiteGetObject,0.0002696,USD
2023-09-01,2023-10-01,WriteBucketCors,4e-05,USD
2023-09-01,2023-10-01,WriteBucketOwnershipControls,6e-05,USD
2023-09-01,2023-10-01,WriteBucketPolicy,7.5e-05,USD
2023-09-01,2023-10-01,WriteBucketPublicAccessBlock,9e-05,USD
2023-09-01,2023-10-01,WriteBucketServerSideEncryption,6.5e-05,USD
2023-09-01,2023-10-01,WriteBucketWebsite,2e-05,USD
2023-09-01,2023-10-01,WriteCostAllocation,4.5e-05,USD
2023-09-01,2023-10-01,nil,0.0,USD
2023-10-01,2023-11-01,NoOperation,-58.5181653253,USD
2023-10-01,2023-11-01,APS3-TimedStorage-ByteHrs,0.8521934668,USD
2023-10-01,2023-11-01,AllocateAddressVPC,0.0,USD
2023-10-01,2023-11-01,ApiGatewayRequest,0.0,USD
2023-10-01,2023-11-01,AssociateAddressVPC,8.197,USD
2023-10-01,2023-11-01,CommittedThroughput,0.0,USD
2023-10-01,2023-11-01,CompleteMultipartUpload,6e-05,USD
2023-10-01,2023-11-01,CopyObject,0.0001512172,USD
2023-10-01,2023-11-01,CostDataStorage,0.0,USD
2023-10-01,2023-11-01,CountAutomation,0.0,USD
2023-10-01,2023-11-01,CreateAlias,0.0,USD
2023-10-01,2023-11-01,CreateBucket,3e-05,USD
2023-10-01,2023-11-01,CreateCacheCluster:0002,0.343,USD
2023-10-01,2023-11-01,CreateDBInstance:0002,0.1875640408,USD
2023-10-01,2023-11-01,CreateDBInstance:0014,0.1169653361,USD
2023-10-01,2023-11-01,CreateDBProxy:0002,0.2254955557,USD
2023-10-01,2023-11-01,CreateGrant,0.0,USD
2023-10-01,2023-11-01,CreateKey,0.0,USD
2023-10-01,2023-11-01,CreateOperation,0.0,USD
2023-10-01,2023-11-01,CreateSecret,5e-06,USD
2023-10-01,2023-11-01,CreateSnapshot,2.2367320711,USD
2023-10-01,2023-11-01,CreateTopic,0.0,USD
2023-10-01,2023-11-01,CreateVolume-Gp2,23.2615701985,USD
2023-10-01,2023-11-01,CreateVolume-Gp3,0.2618589638,USD
2023-10-01,2023-11-01,CurrentKeys,1.318548366,USD
2023-10-01,2023-11-01,DeleteAlias,0.0,USD
2023-10-01,2023-11-01,DeleteBucketCors,0.0,USD
2023-10-01,2023-11-01,DeleteBucketOwnershipControls,0.0,USD
2023-10-01,2023-11-01,DeleteBucketPolicy,0.0,USD
2023-10-01,2023-11-01,DeleteBucketPublicAccessBlock,0.0,USD
2023-10-01,2023-11-01,DeleteMessage,0.0,USD
2023-10-01,2023-11-01,DeleteSecret,1e-05,USD
2023-10-01,2023-11-01,DeleteTopic,0.0,USD
2023-10-01,2023-11-01,DescribeKey,0.0,USD
2023-10-01,2023-11-01,DescribeNetworkInterfaces,0.0,USD
2023-10-01,2023-11-01,DescribeSecret,6e-05,USD
2023-10-01,2023-11-01,DisableKey,0.0,USD
2023-10-01,2023-11-01,ESDomain,0.0,USD
2023-10-01,2023-11-01,GET,0.0,USD
2023-10-01,2023-11-01,GetCostAndUsage,8.6,USD
2023-10-01,2023-11-01,GetCostForecast,8.76,USD
2023-10-01,2023-11-01,GetDataProtectionPolicy,0.0,USD
2023-10-01,2023-11-01,GetKeyPolicy,0.0,USD
2023-10-01,2023-11-01,GetKeyRotationStatus,0.0,USD
