Start,End,ServiceName,Amount,USD
2023-09-01,2023-10-01,NoRegion,143.81,USD
2023-09-01,2023-10-01,ap-northeast-1,0.0,USD
2023-09-01,2023-10-01,ap-south-1,697.8908563816,USD
2023-09-01,2023-10-01,ap-southeast-1,0.0,USD
2023-09-01,2023-10-01,eu-west-1,0.0,USD
2023-09-01,2023-10-01,global,0.0,USD
2023-09-01,2023-10-01,sa-east-1,4.87e-08,USD
2023-09-01,2023-10-01,us-east-1,101.0867748053,USD
2023-10-01,2023-11-01,NoRegion,1.19,USD
2023-10-01,2023-11-01,ap-northeast-1,0.0,USD
2023-10-01,2023-11-01,ap-south-1,6.6848984023,USD
2023-10-01,2023-11-01,ap-southeast-1,0.0,USD
2023-10-01,2023-11-01,ap-southeast-2,0.0,USD
2023-10-01,2023-11-01,ca-central-1,0.0,USD
2023-10-01,2023-11-01,eu-west-1,0.0,USD
2023-10-01,2023-11-01,global,0.0,USD
2023-10-01,2023-11-01,us-east-1,0.0011300093,USD
2023-11-01,2023-12-01,NoRegion,62.39,USD
2023-11-01,2023-12-01,ap-northeast-1,0.0,USD
2023-11-01,2023-12-01,ap-northeast-2,0.0,USD
2023-11-01,2023-12-01,ap-northeast-3,0.0,USD
2023-11-01,2023-12-01,ap-south-1,246.8194720978,USD
2023-11-01,2023-12-01,ap-southeast-1,0.0,USD
2023-11-01,2023-12-01,ap-southeast-2,0.0,USD
2023-11-01,2023-12-01,ca-central-1,0.0,USD
2023-11-01,2023-12-01,eu-central-1,0.0,USD
2023-11-01,2023-12-01,eu-north-1,0.0,USD
2023-11-01,2023-12-01,eu-west-1,0.0,USD
2023-11-01,2023-12-01,eu-west-2,0.0,USD
2023-11-01,2023-12-01,eu-west-3,0.0,USD
2023-11-01,2023-12-01,global,0.0,USD
2023-11-01,2023-12-01,sa-east-1,0.0,USD
2023-11-01,2023-12-01,us-east-1,99.7940076707,USD
2023-11-01,2023-12-01,us-east-2,0.0,USD
2023-11-01,2023-12-01,us-west-1,0.0,USD
2023-11-01,2023-12-01,us-west-2,0.0,USD
2023-12-01,2023-12-31,NoRegion,7.33,USD
2023-12-01,2023-12-31,ap-northeast-1,40.7314053627,USD
2023-12-01,2023-12-31,ap-northeast-2,0.0,USD
2023-12-01,2023-12-31,ap-northeast-3,0.0,USD
2023-12-01,2023-12-31,ap-south-1,2.777e-07,USD
2023-12-01,2023-12-31,ap-southeast-1,0.0,USD
2023-12-01,2023-12-31,ap-southeast-2,0.0,USD
2023-12-01,2023-12-31,ca-central-1,0.0,USD
2023-12-01,2023-12-31,eu-central-1,0.0,USD
2023-12-01,2023-12-31,eu-north-1,0.0,USD
2023-12-01,2023-12-31,eu-west-1,0.0,USD
2023-12-01,2023-12-31,eu-west-2,0.0,USD
2023-12-01,2023-12-31,eu-west-3,0.0,USD
2023-12-01,2023-12-31,global,0.0,USD
2023-12-01,2023-12-31,sa-east-1,0.0,USD
2023-12-01,2023-12-31,us-east-1,-9e-10,USD
2023-12-01,2023-12-31,us-east-2,0.0,USD
2023-12-01,2023-12-31,us-west-1,0.0,USD
2023-12-01,2023-12-31,us-west-2,0.0,USD
