Start,End,ServiceName,Amount,USD
2023-09-01,2023-10-01,AWS Cost Explorer,101.0850283331,USD
2023-09-01,2023-10-01,AWS Glue,1.68537116,USD
2023-09-01,2023-10-01,AWS Key Management Service,2.208333351,USD
2023-09-01,2023-10-01,AWS Lambda,0.0,USD
2023-09-01,2023-10-01,AWS Secrets Manager,0.3526194717,USD
2023-09-01,2023-10-01,AWS Step Functions,0.0,USD
2023-09-01,2023-10-01,AWS Systems Manager,0.0,USD
2023-09-01,2023-10-01,AWS X-Ray,0.0,USD
2023-09-01,2023-10-01,Amazon API Gateway,0.0,USD
2023-09-01,2023-10-01,Amazon CloudFront,4.87e-08,USD
2023-09-01,2023-10-01,Amazon DynamoDB,0.0,USD
2023-09-01,2023-10-01,Amazon EC2 Container Registry (ECR),0.5387957246,USD
2023-09-01,2023-10-01,Amazon ElastiCache,0.294,USD
2023-09-01,2023-10-01,EC2 - Other,116.8945623516,USD
2023-09-01,2023-10-01,Amazon Elastic Compute Cloud - Compute,162.8278212726,USD
2023-09-01,2023-10-01,Amazon Elastic Container Service for Kubernetes,105.148857667,USD
2023-09-01,2023-10-01,Amazon Elastic File System,0.0,USD
2023-09-01,2023-10-01,Amazon Elastic Load Balancing,32.5529175323,USD
2023-09-01,2023-10-01,Amazon Location Service,0.0,USD
2023-09-01,2023-10-01,Amazon OpenSearch Service,5.53029e-05,USD
2023-09-01,2023-10-01,Amazon Relational Database Service,261.5131709533,USD
2023-09-01,2023-10-01,Amazon Simple Email Service,0.0002944468,USD
2023-09-01,2023-10-01,Amazon Simple Notification Service,0.0,USD
2023-09-01,2023-10-01,Amazon Simple Queue Service,0.0,USD
2023-09-01,2023-10-01,Amazon Simple Storage Service,1.2138036502,USD
2023-09-01,2023-10-01,Amazon Transcribe,0.0,USD
2023-09-01,2023-10-01,Amazon Translate,0.0,USD
2023-09-01,2023-10-01,Amazon Virtual Private Cloud,4.862,USD
2023-09-01,2023-10-01,AmazonCloudWatch,7.7999999698,USD
2023-09-01,2023-10-01,Tax,143.81,USD
2023-10-01,2023-11-01,AWS Cost Explorer,17.8665941828,USD
2023-10-01,2023-11-01,AWS Glue,0.0,USD
2023-10-01,2023-11-01,AWS Key Management Service,2.948924684,USD
2023-10-01,2023-11-01,AWS Lambda,0.0,USD
2023-10-01,2023-11-01,AWS Secrets Manager,0.2602366088,USD
2023-10-01,2023-11-01,AWS Systems Manager,0.0,USD
2023-10-01,2023-11-01,AWS X-Ray,0.0,USD
2023-10-01,2023-11-01,Amazon API Gateway,0.0,USD
2023-10-01,2023-11-01,Amazon CloudFront,1.7362e-06,USD
2023-10-01,2023-11-01,Amazon DynamoDB,0.0,USD
2023-10-01,2023-11-01,Amazon EC2 Container Registry (ECR),0.8521934668,USD
2023-10-01,2023-11-01,Amazon ElastiCache,0.343,USD
2023-10-01,2023-11-01,EC2 - Other,79.2872750922,USD
2023-10-01,2023-11-01,Amazon Elastic Compute Cloud - Compute,103.6600351915,USD
2023-10-01,2023-11-01,Amazon Elastic Container Service for Kubernetes,75.057638694,USD
2023-10-01,2023-11-01,Amazon Elastic File System,0.0,USD
2023-10-01,2023-11-01,Amazon Elastic Load Balancing,10.1839020503,USD
2023-10-01,2023-11-01,Amazon OpenSearch Service,0.0001653757,USD
2023-10-01,2023-11-01,Amazon Relational Database Service,7.0203062075,USD
2023-10-01,2023-11-01,Amazon Simple Email Service,0.000157046,USD
2023-10-01,2023-11-01,Amazon Simple Notification Service,0.0,USD
2023-10-01,2023-11-01,Amazon Simple Queue Service,0.0,USD
2023-10-01,2023-11-01,Amazon Simple Storage Service,1.2280895553,USD
2023-10-01,2023-11-01,Amazon Virtual Private Cloud,0.182,USD
2023-10-01,2023-11-01,AmazonCloudWatch,7.7955085205,USD
2023-10-01,2023-11-01,Tax,1.19,USD
2023-11-01,2023-12-01,AWS CodeCommit,0.0,USD
2023-11-01,2023-12-01,AWS Cost Explorer,99.7912333657,USD
2023-11-01,2023-12-01,AWS Glue,0.0,USD
2023-11-01,2023-12-01,AWS Key Management Service,0.0,USD
2023-11-01,2023-12-01,AWS Lambda,0.0,USD
2023-11-01,2023-12-01,AWS Systems Manager,0.0,USD
2023-11-01,2023-12-01,AWS X-Ray,0.0,USD
2023-11-01,2023-12-01,Amazon API Gateway,0.0,USD
