Start,End,ServiceName,Amount,USD
2023-09-01,2023-10-01,NoUsageType,143.81,USD
2023-09-01,2023-10-01,AP-DataTransfer-Out-Bytes,0.0,USD
2023-09-01,2023-10-01,AP-Requests-Tier1,0.0,USD
2023-09-01,2023-10-01,AP-Requests-Tier2-HTTPS,0.0,USD
2023-09-01,2023-10-01,APS3-AFS1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APE1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APE1-AWS-Out-Bytes,2.9e-09,USD
2023-09-01,2023-10-01,APS3-APN1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APN1-AWS-Out-Bytes,2.2975e-06,USD
2023-09-01,2023-10-01,APS3-APN2-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APN3-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APN3-AWS-Out-Bytes,1.0844e-06,USD
2023-09-01,2023-10-01,APS3-APS1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APS1-AWS-Out-Bytes,0.0002402448,USD
2023-09-01,2023-10-01,APS3-APS2-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APS2-AWS-Out-Bytes,5.89e-08,USD
2023-09-01,2023-10-01,APS3-APS4-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APS5-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-APS5-AWS-Out-Bytes,2.9e-09,USD
2023-09-01,2023-10-01,APS3-AWSSecretsManager-Secrets,0.3494444717,USD
2023-09-01,2023-10-01,APS3-AWSSecretsManagerAPIRequest,0.003175,USD
2023-09-01,2023-10-01,APS3-AmazonEKS-Hours:perCluster,105.148857667,USD
2023-09-01,2023-10-01,APS3-ApiGatewayHttpRequest,0.0,USD
2023-09-01,2023-10-01,APS3-ApiGatewayRequest,0.0,USD
2023-09-01,2023-10-01,APS3-AttachmentsSize-Bytes,0.0002944468,USD
2023-09-01,2023-10-01,APS3-BoxUsage:g4dn.2xlarge,1.474070184,USD
2023-09-01,2023-10-01,APS3-BoxUsage:g4dn.xlarge,96.446925,USD
2023-09-01,2023-10-01,APS3-BoxUsage:t2.large,8.4683734656,USD
2023-09-01,2023-10-01,APS3-BoxUsage:t2.medium,3.676848,USD
2023-09-01,2023-10-01,APS3-BoxUsage:t2.micro,0.0,USD
2023-09-01,2023-10-01,APS3-BoxUsage:t3.medium,52.758296864,USD
2023-09-01,2023-10-01,APS3-CAN1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-CAN1-AWS-Out-Bytes,9.7011e-06,USD
2023-09-01,2023-10-01,APS3-CW:AlarmMonitorUsage,7.7999999698,USD
2023-09-01,2023-10-01,APS3-CW:MetricMonitorUsage,0.0,USD
2023-09-01,2023-10-01,APS3-CW:Requests,0.0,USD
2023-09-01,2023-10-01,APS3-Catalog-Request,0.0,USD
2023-09-01,2023-10-01,APS3-Catalog-Storage,0.0,USD
2023-09-01,2023-10-01,APS3-CloudFront-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-CloudFront-Out-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-Crawler-DPU-Hour,0.03781536,USD
2023-09-01,2023-10-01,APS3-DataProcessing-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-DataTransfer-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-DataTransfer-Out-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-DataTransfer-Regional-Bytes,0.3178565864,USD
2023-09-01,2023-10-01,APS3-DeliveryAttempts-SMTP,0.0,USD
2023-09-01,2023-10-01,APS3-DeliveryAttempts-SQS,0.0,USD
2023-09-01,2023-10-01,APS3-EBS:SnapshotUsage,3.0666034298,USD
2023-09-01,2023-10-01,APS3-EBS:VolumeUsage.gp2,39.414190331,USD
2023-09-01,2023-10-01,APS3-EBS:VolumeUsage.gp3,3.7469262359,USD
2023-09-01,2023-10-01,APS3-EBSOptimized:g4dn.2xlarge,0.0,USD
2023-09-01,2023-10-01,APS3-EBSOptimized:g4dn.xlarge,0.0,USD
2023-09-01,2023-10-01,APS3-ES:GP3-Storage,0.0,USD
2023-09-01,2023-10-01,APS3-ESInstance:t3.small,0.0,USD
2023-09-01,2023-10-01,APS3-ETL-DPU-Hour,1.6475558,USD
2023-09-01,2023-10-01,APS3-EU-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-EU-AWS-Out-Bytes,1.60267e-05,USD
2023-09-01,2023-10-01,APS3-EUC1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-EUC1-AWS-Out-Bytes,2.11557e-05,USD
2023-09-01,2023-10-01,APS3-EUC2-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-EUN1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-EUN1-AWS-Out-Bytes,0.0001018678,USD
2023-09-01,2023-10-01,APS3-EUW2-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-EUW2-AWS-Out-Bytes,8.11783e-05,USD
2023-09-01,2023-10-01,APS3-EUW3-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-EUW3-AWS-Out-Bytes,3.3649e-06,USD
2023-09-01,2023-10-01,APS3-ElasticIP:IdleAddress,10.369,USD
2023-09-01,2023-10-01,APS3-ILC1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-InstanceUsage:db.t3.medium,11.446236144,USD
2023-09-01,2023-10-01,APS3-InstanceUsage:db.t3.micro,0.0,USD
2023-09-01,2023-10-01,APS3-LCUUsage,0.0,USD
2023-09-01,2023-10-01,APS3-Lambda-GB-Second,0.0,USD
2023-09-01,2023-10-01,APS3-LoadBalancerUsage,32.5518,USD
2023-09-01,2023-10-01,APS3-MCI2-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-MCI2-AWS-Out-Bytes,2.56e-08,USD
2023-09-01,2023-10-01,APS3-MEC1-AWS-In-Bytes,0.0,USD
2023-09-01,2023-10-01,APS3-NatGateway-Bytes,0.9385614088,USD
2023-09-01,2023-10-01,APS3-NatGateway-Hours,59.024,USD
2023-09-01,2023-10-01,APS3-NodeUsage:cache.t2.small,0.294,USD
2023-09-01,2023-10-01,APS3-PublicIPv4:IdleAddress,0.0,USD
2023-09-01,2023-10-01,APS3-PublicIPv4:InUseAddress,0.0,USD
2023-09-01,2023-10-01,APS3-RDS:GP2-Storage,4.2889853676,USD
2023-09-01,2023-10-01,APS3-RDS:PIOPS,239.5681944542,USD
2023-09-01,2023-10-01,APS3-RDS:PIOPS-Storage,6.0187222078,USD
2023-09-01,2023-10-01,APS3-RDS:ProxyUsage,0.1910327797,USD
2023-09-01,2023-10-01,APS3-ReadCapacityUnit-Hrs,0.0,USD
2023-09-01,2023-10-01,APS3-Recipients-EC2,0.0,USD
2023-09-01,2023-10-01,APS3-Request,0.0,USD
2023-09-01,2023-10-01,APS3-Requests-FIFO-Tier1,0.0,USD
2023-09-01,2023-10-01,APS3-Requests-Tier1,0.0697,USD
